ticker,group,feature_count
1605,brent,11
1605,dollar_index,11
1605,dow,11
1605,fxi,11
1605,gold,11
1605,mchi,11
1605,nasdaq100,11
1605,nasdaq100_futures,11
1605,natural_gas,11
1605,nikkei225_futures,11
1605,oih,11
1605,sp500,11
1605,sp500_futures,11
1605,stock,11
1605,us_10y_minus_2y_spread,10
1605,us_10y_yield,10
1605,us_2y_yield,10
1605,us_30y_yield,10
1605,vix,11
1605,wti,11
1605,xle,11
5019,brent,11
5019,dollar_index,11
5019,dow,11
5019,fxi,11
5019,gold,11
5019,mchi,11
5019,nasdaq100,11
5019,nasdaq100_futures,11
5019,natural_gas,11
5019,nikkei225_futures,11
5019,oih,11
5019,sp500,11
5019,sp500_futures,11
5019,stock,11
5019,us_10y_minus_2y_spread,10
5019,us_10y_yield,10
5019,us_2y_yield,10
5019,us_30y_yield,10
5019,vix,11
5019,wti,11
5019,xle,11
5020,brent,11
5020,dollar_index,11
5020,dow,11
5020,fxi,11
5020,gold,11
5020,mchi,11
5020,nasdaq100,11
5020,nasdaq100_futures,11
5020,natural_gas,11
5020,nikkei225_futures,11
5020,oih,11
5020,sp500,11
5020,sp500_futures,11
5020,stock,11
5020,us_10y_minus_2y_spread,10
5020,us_10y_yield,10
5020,us_2y_yield,10
5020,us_30y_yield,10
5020,vix,11
5020,wti,11
5020,xle,11
5021,brent,11
5021,dollar_index,11
5021,dow,11
5021,fxi,11
5021,gold,11
5021,mchi,11
5021,nasdaq100,11
5021,nasdaq100_futures,11
5021,natural_gas,11
5021,nikkei225_futures,11
5021,oih,11
5021,sp500,11
5021,sp500_futures,11
5021,stock,11
5021,us_10y_minus_2y_spread,10
5021,us_10y_yield,10
5021,us_2y_yield,10
5021,us_30y_yield,10
5021,vix,11
5021,wti,11
5021,xle,11
7201,copper,11
7201,dollar_index,11
7201,dow,11
7201,ewy,11
7201,fxi,11
7201,gold,11
7201,honda_adr,11
7201,mchi,11
7201,nasdaq100,11
7201,nasdaq100_futures,11
7201,nikkei225_futures,11
7201,sp500,11
7201,sp500_futures,11
7201,stock,11
7201,toyota_adr,11
7201,us_10y_minus_2y_spread,10
7201,us_10y_yield,10
7201,us_2y_yield,10
7201,us_30y_yield,10
7201,vix,11
7201,wti,11
7201,xli,11
7203,copper,11
7203,dollar_index,11
7203,dow,11
7203,ewy,11
7203,fxi,11
7203,gold,11
7203,honda_adr,11
7203,mchi,11
7203,nasdaq100,11
7203,nasdaq100_futures,11
7203,nikkei225_futures,11
7203,sp500,11
7203,sp500_futures,11
7203,stock,11
7203,toyota_adr,11
7203,us_10y_minus_2y_spread,10
7203,us_10y_yield,10
7203,us_2y_yield,10
7203,us_30y_yield,10
7203,vix,11
7203,wti,11
7203,xli,11
7267,copper,11
7267,dollar_index,11
7267,dow,11
7267,ewy,11
7267,fxi,11
7267,gold,11
7267,honda_adr,11
7267,mchi,11
7267,nasdaq100,11
7267,nasdaq100_futures,11
7267,nikkei225_futures,11
7267,sp500,11
7267,sp500_futures,11
7267,stock,11
7267,toyota_adr,11
7267,us_10y_minus_2y_spread,10
7267,us_10y_yield,10
7267,us_2y_yield,10
7267,us_30y_yield,10
7267,vix,11
7267,wti,11
7267,xli,11
7269,copper,11
7269,dollar_index,11
7269,dow,11
7269,ewy,11
7269,fxi,11
7269,gold,11
7269,honda_adr,11
7269,mchi,11
7269,nasdaq100,11
7269,nasdaq100_futures,11
7269,nikkei225_futures,11
7269,sp500,11
7269,sp500_futures,11
7269,stock,11
7269,toyota_adr,11
7269,us_10y_minus_2y_spread,10
7269,us_10y_yield,10
7269,us_2y_yield,10
7269,us_30y_yield,10
7269,vix,11
7269,wti,11
7269,xli,11
7270,copper,11
7270,dollar_index,11
7270,dow,11
7270,ewy,11
7270,fxi,11
7270,gold,11
7270,honda_adr,11
7270,mchi,11
7270,nasdaq100,11
7270,nasdaq100_futures,11
7270,nikkei225_futures,11
7270,sp500,11
7270,sp500_futures,11
7270,stock,11
7270,toyota_adr,11
7270,us_10y_minus_2y_spread,10
7270,us_10y_yield,10
7270,us_2y_yield,10
7270,us_30y_yield,10
7270,vix,11
7270,wti,11
7270,xli,11
8001,dollar_index,11
8001,dow,11
8001,gold,11
8001,nasdaq100,11
8001,nasdaq100_futures,11
8001,nikkei225_futures,11
