ticker,sector,mae_production,mae_plus_jpy_rates,mae_delta,mae_delta_pct,direction_delta_pp,verdict
1605,石油,1.2384,1.2425,0.0041,0.33,1.59,REJECTED
5019,石油,1.4583,1.4349,-0.0234,-1.61,4.76,REJECTED (group-level fail)
5020,石油,1.3609,1.3519,-0.009,-0.66,0.0,REJECTED (group-level fail)
5021,石油,1.2761,1.2836,0.0075,0.59,1.59,REJECTED
7201,自動車,1.444,1.4718,0.0278,1.93,0.0,REJECTED
7203,自動車,1.0635,1.0544,-0.0091,-0.85,-1.59,REJECTED (group-level fail)
7267,自動車,1.4193,1.4331,0.0138,0.97,-3.17,REJECTED
7269,自動車,1.3311,1.3483,0.0172,1.29,-4.76,REJECTED
7270,自動車,1.4022,1.4329,0.0307,2.19,0.0,REJECTED
8001,商社,0.9884,0.979,-0.0095,-0.96,-3.17,REJECTED (group-level fail)
8002,商社,1.2677,1.2483,-0.0194,-1.53,6.35,REJECTED (group-level fail)
8031,商社,1.1334,1.1188,-0.0146,-1.29,0.0,REJECTED (group-level fail)
8053,商社,1.2557,1.243,-0.0127,-1.01,6.35,REJECTED (group-level fail)
8058,商社,1.1733,1.1732,-0.0001,-0.01,-1.59,REJECTED (group-level fail)
8306,金融,1.2055,1.2125,0.007,0.58,0.0,REJECTED
8316,金融,1.1145,1.1197,0.0052,0.47,0.0,REJECTED
8411,金融,1.3443,1.3539,0.0096,0.71,0.0,REJECTED
8604,金融,1.2057,1.2235,0.0177,1.47,3.17,REJECTED
8766,金融,1.2948,1.2898,-0.005,-0.39,0.0,REJECTED (group-level fail)
9101,海運,1.2543,1.2467,-0.0076,-0.6,4.76,REJECTED (group-level fail)
9104,海運,1.1341,1.1359,0.0018,0.16,-4.76,REJECTED
9107,海運,1.2749,1.2724,-0.0025,-0.2,1.59,REJECTED (group-level fail)
