prediction_date,ticker,feature,source_market_date,available_timestamp,first_observed_at,retrieved_at,cutoff,verdict
2026-08-14,7203,stock__high_low_range,2026-08-13,2026-08-13 06:50:00+00:00,2026-08-13 08:04:56.593692+00:00,2026-08-13 08:04:56.593692+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__log_return_1d,2026-08-13,2026-08-13 06:50:00+00:00,2026-08-13 08:04:56.593692+00:00,2026-08-13 08:04:56.593692+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__log_return_1d,2026-08-12,2026-08-12 06:50:00+00:00,2026-08-12 08:03:53.698440+00:00,2026-08-12 08:03:53.698440+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__ma20_deviation,2026-08-13,2026-08-13 06:50:00+00:00,2026-08-13 08:04:56.593692+00:00,2026-08-13 08:04:56.593692+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__ma20_deviation,2026-08-12,2026-08-12 06:50:00+00:00,2026-08-12 08:03:53.698440+00:00,2026-08-12 08:03:53.698440+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__ma20_deviation,2026-08-10,2026-08-10 06:50:00+00:00,2026-08-10 16:04:12.341288+00:00,2026-08-10 16:04:12.341288+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__ma20_deviation,2026-08-07,2026-08-07 06:50:00+00:00,2026-08-08 13:39:51.889969+00:00,2026-08-08 13:39:51.889969+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__ma20_deviation,2026-08-06,2026-08-06 06:50:00+00:00,2026-08-08 13:39:51.889969+00:00,2026-08-08 13:39:51.889969+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__ma20_deviation,2026-08-05,2026-08-05 06:50:00+00:00,2026-08-08 13:39:51.889969+00:00,2026-08-08 13:39:51.889969+00:00,2026-08-13 23:30:00+00:00,OK
2026-08-14,7203,stock__ma20_deviation,2026-08-04,2026-08-04 06:50:00+00:00,2026-08-08 13:39:51.889969+00:00,2026-08-08 13:39:51.889969+00:00,2026-08-13 23:30:00+00:00,OK
